text,kategori
kondisi jalan di desa kemangkon memprihatinkan,Infrastruktur
mas Bupati tolongin dong jln PENGADEGAN arah ke perempatan Pahing kepengin bgt bener.,Infrastruktur
"Assalamu'alaikum WR. WB Salam sejahtera, Om Swastiastu namo budaya salam kebajikan. Yang kami hormati dan kami banggakan bapak Bupati Purbalingga, semoga senantiasa diberikan kesehatan dan keselamatan. Aamiin Mohon ijin, tanpa mengurangi rasa hormat, melalui pesan singkat ini perkenankanlah kami selaku official pengelola Situtirtamarta untuk menyampaikan sedikit keluhan terkait akses jalan menuju Situtirtamarta Desa Karangcegak. Sudah bertahun-tahun kondisi akses jalan menuju Situtirtamarta rusak cukup parah, berkali-kali kami berupaya mengajukan perbaikan dan perawatan. Sudah dijanjikan sejak juni 2024 tapi sampai saat ini belum juga ada realisasi. Kami cukup kewalahan menanggapi keluhan pengunjung terkait kerusakan jalan, bahkan beberapa kali terjadi insiden kecelakaan pengunjung yang terjatuh hingga kaca rumah yang pecah terkena batu yang tergelincir oleh roda mobil. Mengingat sebentar lagi menghadapi libur idul fitri, kami khawatir dengan kondisi jalan yang ada saat ini akan berakibat chaos yang membuat kami kesulitan dalam mengatur akses lalu lintasnya. Seperti kita ketahui bersama, kunjungan wisata Desa kami tertinggi kedua setelah Desa Serang hampir 150rb pengunjung dalam 1 tahun. Beberapa waktu lalu sudah dilaksanakan pengukuran ulang oleh Dinas PUPR, dan informasi yang kami dapat kemungkinan pengerjaan dilakukan pasca Libur idul fitri atau bulan April. Besar harapan kami perbaikan jalan Situtirtamarta bisa dilaksanakan sebelum libur idul fitri, dengan volume yang tidak begitu besar hanya butuh waktu beberapa hari saja untuk pengerjaannya. Semoga Bapak Bupati yang terhormat bisa lebih memprioritaskan perbaikannya melalui dinas terkait agar bisa dikerjakan secepatnya. Demikian informasi yang dapat kami sampaikan, mohon maaf bila ada kata yang kurang berkenan. Atas perhatiannya kami sampaikan Terimakasih 🙏",Infrastruktur
Pak bupati tolong jalan yg arah bale desa kemangkon tolong di cepat2 di aspal pak mksh dari warjo bale desa kemangkon,Infrastruktur
jalan rusak,Infrastruktur
Bp yang terhormat kami sebagai pendukung bapak mohon jalan dari Purbalingga Losari udah rusak mohon di perbaiki mengingat para pengguna jalan PD mengeluh,Infrastruktur
"Assalamualaikum mas Bup, perkenalkan saya Abdul Fajar dari desa Wanogara Wetan RT 02 RW 04 Kec. Rembang Kab. Purbalingga. Mas saya mau lapor, jalan desa menuju ke rumah saya sudah lama rusak dan belum juga diperbaiki, karena medan jalan yang menanjak dan rusak sehingga sangat membahayakan pengguna jalan. Untuk lokasi jalannya ada di desa Wanogara Wetan RT 02 RW 04 Kec. Rembang Kab. Purbalingga atau yang lebih di kenal Dusun Pagentan. Itu jalan yang menghubungkan dr Jalan Raya Karangmoncol-Rembang ke desa Tepus. Kami berharap banyak kpd Mas Bup, agar jalan dusun kami bisa segera diperbaiki, untuk keselamatan dan kenyamanan warga kami, terimakasih",Infrastruktur
"Lapor, saya herli utomo dari pengalusan mrebet. jalan desa pengalusan... Sudah ga alus RUSAK harapannya setelah perbaikan ada juga pemeliharaan.. 2 x periode kepala desa yang sama, tidak tersentuh sedikitpun",Infrastruktur
"Lapor Pak Bupati, Kondisi jalan raya kejobong- bandingan klagung ,memprihatinkan pak, kalo malem itu gelap banget, sekaligus ada lobang gede gede banget,bisa di survei dulu Pak biar tau kondisi jalan nya Pak Terimakasih🙏 tolong disurvei jalan raya kejobong pandansari sampai gemiwang min itu parah banget kalo malem malem sama lubangnya gede gede.",Infrastruktur
"jalan rusak, Dari bantar barang sampai paing. karena saya adalah pendukung masbup jadi saya berani lapor masbup",Infrastruktur
"izin lapor dari desa tetel rt13rw06 kecamatan pengadegan ,lapor jalan rusak sudah bertahun tahun beluk ada perubahan dari ujung timur sampe ujung barat jallan rusak hanya bebatuan",Infrastruktur
"permisi admin, aku mau izin saranin kalo boleh jalan di sekitar desa Blater itu dibenarkan, soalnya sudah rusak dan berbatu batu, terus juga ada bolongan besar banget di jalan utama mayjend sungkono di dekat minimarket Redjo Mulyo, itu kalau malam tidak terlihat dan bisa menyebabkan bahaya, terimakasih min🙏🏻",Infrastruktur
"Saya Anas Hudan Majid saya sekarang berstatus sebagai mahasiswa di politeknik pekerjaan umum milik Kementerian pekerjaan umum, terkait dengan program mas fahmi yang ingin memuluskan jalan jalan yang ada di kota Purbalingga ini saya yakin itu bukanlah hal yang mudah tapi saya juga yakin bahwa ini bisa dan harus di tangani dengan segera maka dari itu saya ada sedikit saran untuk metode perbaikan nya yang insyaAllah dengan keterbatasan anggaran yang ada metode ini bisa menjadi solusi untuk meningkatkan taraf kualitas jalan yang ada di Purbalingga ini, Metode tersebut bernama Chip Seal. Silahkan jika mas Fahmi mau mempelajari dlu tentang itu tapi 1 hal yang pasti metode ini sudah digunakan di berbagai negara termasuk Australia dengan sumber daya nya yang terbatas maka mereka tidak menggunakan campuran beraspal tapi mereka menggunakan metode Chip Seal ini untuk preventif jalan mereka dan terbukti kualitasnya apa bila dilaksanakan dengan sebaik-baiknya sesuai SNI dan Spek Umum Bina Marga 2018",Infrastruktur
"Assalamualaikum mas mau, Mas Bup mau informasi jl raya mipiran banyak berlobang mau lebaran",Infrastruktur
jalan berlubang mengakibatkan pemotor jatuh apa lagi kalau cuaca hujan jalan berlubang tergenang air,Infrastruktur
Mohon dibantu untuk petugas kebersihan BPP di 18 kecamatan Dinas pertanian purbalingga. Untuk kaitan honornya disetarakan UMK. Trimakasih,Sosial dan Ekonomi
"Asalamualaikum selamat pagi Mas Bup, izin melaporkan jalan bodol/rusak yang berapa tahun ini belum diperbaiki, jalan desa pepedan, kurang tau kewenangan nya siapa? Pemdes kah? Atau pemkab kah? Klo memang kewenangan pemdes, ya minta tolong dicolek kepala desanya mas Bup, biar di rencanakan/dilaksanakan perbaikan, yang jelas sampai sekarang masih utuh rusaknya😫. Terima kasih, semoga menjadi perhatian dan segera ditangani Mas Bup.",Infrastruktur
"izin admin masbup, saya ingin melaporkan bahwa jalan kami rusak parah, padahal jalan tersebut untuk akses ekonomi masyarakat, kami mohon untuk segera di perbaiki karena khawatir membahayakan, apalagi kalau hujan sangat licin. Mohon perhatiannya, semoga segera ditindaklanjuti. 🙏",Infrastruktur
"1. Jembatan Rusak/ longsor shg trjadinya penyempitan sekitar jembatan. 2. Akses jalan Rusak penghubung Karangwuni, Merbung, Bantarwaru tembus Desa Tajug.",Infrastruktur
"Asalamu alaikum,mas selamat yah mudah mudahan amanah inza Alloh bisa menjabat 2/3kali tolong warga. Kemangkon sudah resah sekali jalan pemerintah Purbalingga yg ada dikemangkon masih rusak. jln,eekonomi masyarakat desa Kemangkon.",Infrastruktur
Selamat sore lapor masbup jalan kejobong diberesin tolong banyak lubang dijalan kerja yang katanya nyaman jalan pada rusak,Infrastruktur
"Assalamualaikum wr. wb. Selamat malam admin mohon maaf mengganggu waktunya di luar ham kerja 🙏. Mohon ijin admin saya sudah mengajukan laporan terhadap maturbupati pada era bu tiwi, mengenai baliho yang berada di jl. Raya karangreja - belik tepatnya di desa siaren. Baliho tsb berdiri sejak era pak tasdi, dan pendiriannya tidak ada ijin dan tidak ada perjanjian sewa di tanah pribadi milik orang tua saya. kami juga sudah melapor ke dinkominfo agar baliho tsb di turunkan sehak th 2022 akan terapi sampai sekarang tidak ada tindak lanjut. Dan baliho tsb masih kokoh berdiri di tanah pribadi kami. Mohon untuk pencerahan kedepannya seperti apa. Terimakasih banyak 🙏",Ketertiban
Saya ibu rumahtangga dan suami saya seorang petani melon yang berlokasi di kelurahan Kedungmenjangan Mohon saran.. Bantuan dan bimbingan karena kami mengalami gagal panen beberapa kali yang menyebabkan kami kehabisan modal bahkan terlilit hutang Sementara lahan yang kami miliki bukan milik pribadi melainkan lahan sewa sampai ada beberapa lahan yang tidak terurus.. Kami mohon saran.. Bantuan dan bimbingan pada bapak karena kami sangat ingin mengembangkan pertanian melon Atas perhatian kami ucapkan terimakasih,Sosial dan Ekonomi
"Pagi,saya pengin perbaikan jalan yg arah sumingkir x tengah Kadus lima bantarbarang,yg kondisi jalannya sangat memperihatinkan.",Infrastruktur
"Asalamualaikum wr wr ,Yang Terhormat Bapak Bupati dan Wakil Bupati Purbalingga,kami warga Desa Arenan kecamatan Kaligondang Meminta pemasangan lampu jalan PJU disepanjang jalan utama Desa kami,karena kalau malam sangat gelap ,terima kasih.🙏",Infrastruktur
",izin melaporkan mas bupati bahwa lampu jalan di sepanjang jl. Raya sinduraja sampai bedagas banyak sekali yg tdk berfungsi dg baikbyk yg mati,dampaknya jalan menjadi rawan kecelakaan & tindak kriminal. 2 hari lalu sy dan istri menjadi korban jambret di jalan raya sinduraja-pengadegan tepatnya di jl.perbatasan antara kec.kaligondang dg kec.pengadegan.terjadi pd hari jumat malam sekitar pukul 20:40 WIB. Persis di jalan yg tdk ada penerangan lampu jalannya pdhal tiang lampunya ada.",Infrastruktur
"ASSALAMU'ALIKUM ,,,MASBUP/MASWABUP DI JLN RAYA PANICAN KALAU HUJAN/GERIMIS SELALU ADA GENANGAN AIR KARENA TDK ADA DRAINASE MOHON SOLUSINYA WASSALAMU'ALAKUM",Infrastruktur
jalan berlubang dan ada lubang amblas di jembatan depan cucian mobil sanc auto care,Infrastruktur
"saya ingin menyampaikan terkait dengan keadaan jalan yang luar biasa rusaknya, serta tidak jalan nya kelompok tani di sini, sempat beberapa kali menyampaikan dengan PPL setempat, tetapi belum juga ada tanggapan yang sesuai dg harapan kami, terimakasih",Infrastruktur
"mau melapor bahwa jln yg menuju kali ponggawa sering terjadi longsor,kami sangat kewalahan pabila longsor terjadi MLM HR susah ntk evakuasi tanah trsbut,JD saya mohon kebijakan dari masbup tolong pasangin satu lampu yg terang gar warga lbih cermat dlm memantau kondisi jln,trmksh",Infrastruktur
Izin lapor mas fahmi saya ada sedikit laporan lampu penerangan jalan di jalur Prigi - Kr klesem padam sdah cukup lama dn membahayakan bagi bagi pengendara ketika lewat jalur tersebut apa lagi sekarang lagi marak2nya gangster tlolong dikoordinasikan demi kenyamanan kita bersama👍👍 Sekian laporan dari saya dn terima kasih mas fahmi 🙏🙏,Infrastruktur
Selamat malam lapor mas bupati purbalingga...menjelang arus mudik lebaran sepanjang jalanan purbalingga masih ada yg berlubang dan pada saat hujan tertutup dengan air hujan karena dapat mengakibatkan bahaya lalu lintas pada malam hari.,Infrastruktur
Permasalahan...Mohon dibantu dg segera perbaikan jembatan PU arah Sokanegara -Gumiwang di rt01 rw 04 dusun 4 karena sdh rawan rusak kena longsor .Sangat membahayakan bagi masyarakt yg lewat terjadi kecelakaan masuk sungai yg tajam.,Infrastruktur
"Selamat Sore... warga atas nama Misto asal dari Pengalusan-Mrebet mengalami kecelakaan kerja di jakarta saat bekerja jadi kuli bangunan., Karena kecelakaan kerja jadi tidak tercover BPJS Kesehatan.,Sedangakan yg bersangkutan tidak punya BPJS Ketenagakerjaan. Mohon petunjuk solusinya mengingat di tulangpunggung mengalami cedera. menurut informasi dari Pihak RS Siaga Medika yg menangani pertama harus di rujuk ke Rumah Sakit Margono untuk tindakan lanjutan",Sosial dan Ekonomi
Kesulitan pajeg motor karna nggak punya KTP atas nama motor tersebut.,Pelayanan Publik
"Saya Slamet hidayat dari desa danasari kecamatan karang jambu ini jalan desa sudah banyak memakan korban ,karena Medan yang curam dan jalan rusak mohon untuk segera di perbaiki terimakasih pak",Infrastruktur
"lampu jalan mati sudah hampir 2 tahun tidak dioerbaiki,sudah lapor bupati terdahulu katanya suruh lapor dishub tapi tidak ditanggapi. Ada beberapa lampu jalan yang mati di jalan rs yosomiharjo dan tidak ditanggapi sampe sekarang. Harus segera di perbaiki pak bupati, soalnya rawan kejahatan kalo terlalu lama mati lampu jalannya. Terus juga jalan ke arah pemalang juga yang lampunya mati tolong dihidupkan lagi antara kecamatan bobotsari dan karangreja.",Infrastruktur
lampu jalan trobosan perumahan abdi negara k dawuhan tidak ada jadi ketika malem gelap gulita,Infrastruktur
"Asslm selamat pagi Mas Bupati, ijin menyampaikan, ada jalan rusak yg berkali kali rusak karena diperbaiki hanya sekedarnya petugas sebelumnya, yaitu jalan diatas jembatan kecil perbatasan Desa Pekiringan dan Desa Grantung Kec Karangmoncol tepatnya di Samping Kopi Prumpung-cafe Dampak perbaikan yg sekedarnya adalah semakin mengecilnya rongga dibawah jembatan yang mengakibatkan seringnya terjadi banjir hingga ke jalan raya sehingga mengganggu aktivitas warga yg lewat jika banjir sudah mencapai jalan Harapan kami adalah tolong segera diperbaiki jalan diatas jembatan kecil tersebut secara permanen yaitu dengan mengeruk rongga bawah jembatan, Demikian kami sampaikan, atas perhatiannya kami ucapkan Terimakasih Wasslm",Infrastruktur
jalan yang menuju jangkung rusak,Infrastruktur
"Assalamualaikum Wr. Wb. Selamat Pagi, Salam dan bahagia Perkenalkan saya Risa mahasiswa UMP, warga Purbalingga izin melaporkan kepada Mas Bupati, mengenai penerangan jalan di daerah Jl.MT Haryono dan Jl. Raya Padamara tepatnya sekitar Pom bensin Padamara dan Jl. Raya Kalitinggar mohon diberi penerangan jalan Mas karena sangat rawan kalau malam di daerah sana. Selain penerangan juga mohon diperbaiki jalannya Mas dari kota daerah bancar sampai perbatasan Purbalingga-Silado. Semoga direspon nggih Mas🙏🏻 Mohon maaf dan Terima kasih Salam",Infrastruktur
"Jalanan di area grecol rusak parah, padahal itu jalan di saat hari kerja di pakai banyak kendaraan terutama pagi dan sore hari, sangat parah sehingga bisa bikin kecelakaan, terutama saat hujan atau setelah hujan karena lubang lubang besar tidak terlihat, mohon untuk di prioritaskan karena jalanan ini sudah lama rusak",Infrastruktur
"Assalamu'alaikum wr Wb Ijin Melaporkan jlan Rusak dari Pasar Manis Karangmoncol - Desa Wanogara Kec.Rembang, Jalan Tersebut jalan Kabupaten.",Infrastruktur
"Jalan rusak hampir longsor di jalan arah Tanjakan Karangduwur, Karanglo desa Banjarsari Kecamatan Bobotsari",Infrastruktur
"Assalamualaikum Wr. Wb. Mohon maaf izin menyampaikan keluhan terkait syarat pengaktifan BPJS Kesehatan yang saya alami. BPJS PBI dari pemerintah saya saat ini sedang non aktif, sudah ke MPP purbalingga dan syarat agar aktif adalah SKTM Surat Keterangan Tidak Mampu, Surat keterangan sakit/sedang dirawat, Fc KTP, dan Fc KK. Dari syarat tersebut saya belum tahu karena saya lihat Januari 2025 di media media sosial, web, dll belum dicantumkan. Akhirnya saya harus kembali kerumah untuk meminta SKTM ke desa dan sya bertanya ke bag. Informasi MPP apakah surat keterangan sakit/dirawat itu wajib ? dan beliau menjawab untuk pengaktifan saja tidak wajib karena tidak sedang sakit/dirawat. Setelah saya kembali ke MPP lagi pada hari itu juga sesuai prosedur saya mendapat antrian bagian dinsos dan dari admin/customer service menginfokan bahwa harus ada surat sakit/sedang dirawat. Akhirnya saya pulang walaupun sudah bolak balik dan perjalanan jauh demi bisa jadi pada hari itu juga. Yang harus dipertanyakan adalah misalkan seseorang yang tidak mampu sedang sakit/pertolongan darurat di malam hari atau hari sabtu minggu dan dari pihak instansi RS/pihak pelayanan kesehatan lain menolak melakukan tindakam karena bpjsnya tidak aktif. Bagaimana solusinya sedangkan mengurus aktifnya BPJS kesehatan di MPP hanya di jam kerja senin-jumat. Saya berharap terkait pengaktifan BPJS harus ada surat sakit/dirawat ini segera dipertimbangakn dan dipermudah proses pengaktifannya supaya saat berobat BPJS kesehatannya langsung bisa digunakan tanpa di aktifkan terlebih dahulu ke MPP yang menurut saya ini mendadak saat keperluan berobat agar tidak membuang waktu",Pelayanan Publik
"Assalamualaikum warrahmatullahi wabarokatuh. Mohon maaf admin, ijin melaporkan kondisi jalan di wilayah kami dusun 4 desa sumampir, kec. Rembang. Jalan sudah rusak parah, sangat menyusahkan dan membahayakan, apalagi waktu musim hujan. Semoga bisa diperbaiki, aamin ya Allah. Terima kasih. Wassalamualaikum warrah matullahi wabarrokatuh",Infrastruktur
"assalamualaikum wr wb.. alhamdulillah dengan bupati baru, semangat baru untuk purbalingga yg lebih maju... sebelumnya d sini saya cuma mau menyampaikan sedikit saja keluh kesah saya sebagai warga purbalingga nggih kak, hehe mudah2n pak bupati dan pak wakil segera survei jalan tegal pingen jembatan Merah sebelah atas ada jalan yg sudah rusak parah, dan sangat mengganggu akses jalan para pekerja seperti saya hehe... berharap semoga segera teratasi... agar seperti slogan pak bupati Alus dalane kepenak ngodene",Infrastruktur
Jalan rusak becek sudah lama,Infrastruktur
"Jalan berlubang resiko kendaraan rusak dan kecelakaan di jalan, Lokasi jalan dari Lampu merah Desa Penican sampe SMP N1 Kemangkon kondisi jalan terlihat banyak kerusakan padahal ini jalan selalu ramai setiap pagi sampe malam hari mohon di tindak lanjuti agar pengendara lebih nyaman melewatinya min",Infrastruktur
Assalamualaikum..lapor mas Bupati..jalan pas depan pukesmas Bukateja..tepate pas lampu merah berlubang.dan air yang menggenang..🙏🙏,Infrastruktur
