"annotation_id"	"annotator"	"created_at"	"id"	"lead_time"	"sentiment"	"text"	"updated_at"

4	"1"	"2025-10-08T07:39:55.200835Z"	988	21.77	"Infrastruktur"	"Jalan di dusun kepetek desa nangkod rt 03 rw 06 kec. Kejobong rusak tidak diperbaiki dan sudah lebih dari 2 tahun. Mohon agar segera di tindaklanjuti"	"2025-10-08T07:39:55.200835Z"

5	"1"	"2025-10-08T07:42:30.100043Z"	989	11.794	"Pelayanan Publik"	"Assalamu'alaikum.. Bapak/Ibu, tolong kembalikan fungsi trotoar untuk pejalan kaki bukan untuk berjualan es teh dll di seberang pawon semar / jalan letnan Ahmad Nur kauman, apalagi yang jualan pakai gerobag walaupun tutup tetapi gerobagnya sampai menginap di trotoar sudah berbulan-bulan gerobag di trotoar, pengunjung gerobag juga parkirnya sering menghalangi akses jalan, gerobag warna kuning, terimakasih."	"2025-10-08T07:42:30.100043Z"

6	"1"	"2025-10-08T07:43:04.949098Z"	990	33.908	"Sosial dan Ekonomi"	"Ada pungutan uang pembangunan dan iuran untuk membayar guru wiyata bakti dan LKS diSDN 2 Tanalum Kecamatan Rembang Purbalingga. Ditagihkan setiap kenaikan kelas. Atau setiap tahun. Saya sebagai wali murid merasa sangat keberatan setelah 4 tahun anak saya sekolah. Di kelas 1 dulu hanya 150.000 tetapi sekarang sudah 250 ribu belum yang lain2. Saya mohon segera ditindak lanjuti. Atas perhatiannya saya ucapkan terima kasih"	"2025-10-08T07:43:04.949098Z"

7	"1"	"2025-10-08T07:44:09.457881Z"	991	63.508	"Pendidikan"	"Assalamu'alaikum wr. wb. Dyah Hayuning Pratiwi selaku Bupati Purbalingga,, Selamat pagi admin Matur Bupati Purbalingga,, mohon informasi atau kejelasan tentang TPG Triwulan 1 Tahun 2024,, terima kasih. Wassalamu'alaikum wr wb,,"	"2025-10-08T07:44:09.457881Z"

8	"1"	"2025-10-08T07:45:00.517750Z"	992	49.85	"Sosial dan Ekonomi"	"Selamat siang bu bupati, saya sebenernya mau mengajukan tentang bantuan sosial untuk saudara saya, yang sudah janda, & sudah kurang produktif dalam bekerja, karena sudah tua, sedangkan dia sama sekali tidak punya tempat tinggal, tinggalnya pun numpang di tempat saudara saudaranya, tapi sama sekali tidak pernah tersentuh bantuan apapun, kaena setiap kali mau mau mengajukan hal tersebut, selalu terganjal masalah dia tidak punya rumah bagaimana bisa mengajukan bantuan sosial, begitu penjelasan para perangkat di bawah Mohon penjelasannya, apakah orang yang tidak punya tempat tinggal & layak mendapatkan perlindungan sosial dari negara, bisa atau tidak mengajukan bansos ke Dinas ? Teimakasih"	"2025-10-08T07:45:00.517750Z"

9	"1"	"2025-10-08T07:45:48.331809Z"	993	46.727	"Infrastruktur"	"Tiang lampu jalan depan Puskesmas Kejobong roboh tertabrak mobil, kabel putus"	"2025-10-08T07:45:48.331809Z"

10	"1"	"2025-10-08T07:47:32.922338Z"	994	103.514	"Pelayanan Publik"	"Mohon bantuannya saya sedang mencari data lampiran 2 belanja urusan pemerintah apbd kab.purbalingga tahun 2021,2022,2023 tetapi hanya ada tahun 2022, dan juga RKA Dinas Kesehatan tidak bisa diakses di web dinkes untuk web pemerintah seperti bakeuda,jdih,dinkes agar diperbaiki agar pemerintah kab.purbalingga menjadi lebih terbuka kepada mayarakat dan akuntabel. Terimakasih"	"2025-10-08T07:47:32.923336Z"

11	"1"	"2025-10-08T07:49:21.183140Z"	995	106.912	"Pelayanan Publik"	"Assalamu'alaikum. Permisi bapak/ibu saya mau melaporkan. Kejadiannya saya mau mengurus SPPT di Balai Desa Dawuhan. Namun sampai sana petugasnya sudah pulang semua hanya tinggal 1 petugas yang saya temui itu pun mau pergi. Padahal saya datang masih jam kerja sekitar jam 13:30. Saya juga sering lewat balai desa tersebut saat jam kerja di siang hari sudah tutup. Kalau seperti ini terus maka menghambat kepentingan warga. Mohon untuk ditindak lanjuti pak/bu. Maaf saya tidak sempat mendokumentasikan kejadian. Terima kasih"	"2025-10-08T07:49:21.183140Z"

